Q1_Banco;Q2_Banco_Principal;Q3_Contacto_Banco_Ultimos_6mese;Q4_Qto_tempo_Cliente;Q51_Presencial (balcão);Q52_Caixa Automático;Q53_Telefone;Q54_E-mail;Q57_Aplicação Móvel (APP);Q58_Call Center;Q59_Whatsapp;Q25_tempo_espera;G4_Sexo;G5_Idade
Banco Sol;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Masculino;35 – 44 
Banco BIC;0;1;5 a 10 ;1;1;0;0;0;0;0;Curto;Feminino;25 – 34 
Banco BIC;0;1;1 a 4 ;1;1;1;0;1;0;0;Normal;Feminino;18 – 24 
Banco BIC;0;1;5 a 10 ;1;1;0;0;0;0;0;Longo;Feminino;25 – 34 
Banco Keve;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco Keve;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco Comercial do Huambo;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco de Fomento Angola;0;1;> 10 ;1;1;0;0;0;0;0;Longo;Feminino;35 – 44 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Curto;Feminino;45 – 54 
Banco Comercial Angolano;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente curto;Masculino;18 – 24 
Banco Comercial do Huambo;0;1;1 a 4 ;1;0;0;0;0;0;0;Curto;Masculino;25 – 34 
Banco Comercial do Huambo;0;1;< 1 ano;1;1;0;0;0;0;0;Curto;Masculino;25 – 34 
Banco Yetu;0;1;< 1 ano;0;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Standard Bank Angola;0;1;1 a 4 ;0;0;1;0;1;0;0;Normal;Masculino;25 – 34 
Banco Sol;0;1;5 a 10 ;1;0;1;0;0;0;0;Demasiadamente longo;Feminino;18 – 24 
Banco Comercial Angolano;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;45 – 54 
Banco Comercial Angolano;0;1;< 1 ano;1;0;0;0;0;0;0;Longo;Feminino;18 – 24 
Banco Comercial Angolano;0;1;1 a 4 ;0;1;0;0;0;0;0;Curto;Feminino;25 – 34 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco Comercial Angolano;0;1;< 1 ano;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;35 – 44 
Banco Comercial Angolano;0;1;5 a 10 ;1;0;0;1;0;0;0;Demasiadamente curto;Masculino;35 – 44 
Banco Comercial Angolano;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco Comercial Angolano;0;1;1 a 4 ;1;0;0;0;0;0;0;Curto;Masculino;35 – 44 
Banco Económico;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente curto;Feminino;35 – 44 
Banco Millennium Atlântico;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;35 – 44 
Banco Millennium Atlântico;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente curto;Feminino;35 – 44 
Banco Millennium Atlântico;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente curto;Masculino;35 – 44 
Banco Sol;0;1;1 a 4 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;35 – 44 
Banco Sol;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;25 – 34 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;1;0;0;0;0;0;Demasiadamente longo;Masculino;35 – 44 
Banco de Poupança e Crédito;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Masculino;45 – 54 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;0;0;0;0;0;0;Demasiadamente longo;Feminino;35 – 44 
Banco BAI Micro Finanças;0;1;< 1 ano;1;0;0;0;0;0;0;Demasiadamente curto;Feminino;18 – 24 
Banco de Comércio e Indústria;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco Comercial Angolano;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco Comercial Angolano;0;1;1 a 4 ;1;1;0;1;0;0;0;Normal;Masculino;35 – 44 
Banco Comercial Angolano;0;1;5 a 10 ;1;1;0;0;0;0;0;Normal;Masculino;45 – 54 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;0;0;0;Demasiadamente curto;Feminino;35 – 44 
Standard Bank Angola;0;1;1 a 4 ;1;0;0;0;1;0;0;Demasiadamente curto;Masculino;45 – 54 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;1;0;0;Normal;Masculino;35 – 44 
Banco de Negócios Internacional;0;1;> 10 ;1;1;1;0;0;0;0;Demasiadamente curto;Masculino;45 – 54 
Banco de Fomento Angola;0;1;5 a 10 ;1;1;1;1;1;0;0;Curto;Masculino;35 – 44 
Banco Sol;0;1;5 a 10 ;1;1;0;0;0;0;0;Longo;Masculino;> 55 
Banco Sol;0;1;5 a 10 ;1;1;1;0;1;0;0;Longo;Masculino;45 – 54 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco Sol;0;1;1 a 4 ;1;0;0;0;0;0;0;Longo;Feminino;25 – 34 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco BAI Micro Finanças;0;1;< 1 ano;1;0;0;0;0;0;0;Longo;Masculino;25 – 34 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Feminino;35 – 44 
Banco BAI Micro Finanças;0;1;5 a 10 ;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Feminino;35 – 44 
Banco BAI Micro Finanças;0;1;5 a 10 ;1;0;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;1;0;0;0;0;0;Normal;Masculino;25 – 34 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;1;1;0;0;0;0;Normal;Masculino;18 – 24 
Banco BAI Micro Finanças;0;1;5 a 10 ;1;0;0;0;0;0;0;Curto;Feminino;35 – 44 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;1;0;0;0;0;0;Longo;Masculino;35 – 44 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;25 – 34 
Banco BAI Micro Finanças;0;1;5 a 10 ;1;0;0;0;0;0;0;Curto;Masculino;18 – 24 
Banco BAI Micro Finanças;0;1;< 1 ano;1;0;0;0;0;0;0;Normal;Feminino;35 – 44 
Banco BAI Micro Finanças;0;1;5 a 10 ;1;1;1;0;0;0;0;Normal;Feminino;25 – 34 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Feminino;18 – 24 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;35 – 44 
Banco BAI Micro Finanças;0;1;1 a 4 ;1;0;0;0;0;0;0;Normal;Masculino;25 – 34 
